"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Bangladesh"," 1991","139.7 [135.34-144.24]","143.25 [138.45-148.24]","135.93 [131.26-140.81]","514 159 [498 200-530 792]","269 566 [260 530-278 839]","244 593 [236 187-253 332]"
"Bangladesh"," 1990","145.97 [141.4-150.63]","149.43 [144.34-154.61]","142.32 [137.34-147.4]","545 413 [528 491-562 672]","285 595 [275 888-295 319]","259 818 [250 774-269 032]"
"Bangladesh"," 1989","152.24 [147.5-157.09]","155.63 [150.27-161.04]","148.71 [143.46-153.92]","572 807 [555 067-590 934]","299 548 [289 286-309 847]","273 259 [263 680-282 797]"
"Bangladesh"," 1988","158.55 [153.58-163.63]","161.77 [156.24-167.38]","155.19 [149.79-160.71]","600 218 [581 510-619 163]","313 350 [302 685-324 186]","286 868 [276 922-297 058]"
"Bangladesh"," 1987","164.93 [159.78-170.27]","167.98 [162.33-173.84]","161.69 [156.15-167.44]","629 044 [609 591-649 254]","327 754 [316 794-338 938]","301 290 [290 930-311 924]"
"Bangladesh"," 1986","171.29 [165.93-176.96]","174.03 [168.11-180.12]","168.36 [162.53-174.54]","656 148 [635 854-677 533]","340 773 [329 204-352 472]","315 375 [304 450-326 833]"
"Bangladesh"," 1985","177.51 [171.96-183.43]","179.71 [173.52-186.07]","175.25 [169.06-181.93]","680 649 [659 621-703 154]","352 031 [340 082-364 391]","328 618 [317 142-340 951]"
"Bangladesh"," 1984","183.6 [177.67-189.92]","185.37 [178.82-192.15]","181.73 [175.17-188.8]","701 004 [678 678-724 824]","361 756 [349 081-374 752]","339 248 [327 008-352 211]"
"Bangladesh"," 1983","189.43 [183.07-196.09]","190.91 [183.97-198.07]","187.83 [180.94-195.32]","720 337 [696 597-745 285]","371 313 [357 895-384 928]","349 024 [336 218-362 734]"
"Bangladesh"," 1982","194.97 [188.1-202.11]","196.29 [188.78-203.98]","193.53 [186.14-201.47]","734 886 [709 607-761 195]","378 744 [364 374-393 155]","356 142 [342 689-370 438]"
"Bangladesh"," 1981","200.25 [192.86-207.98]","201.43 [193.29-209.76]","198.97 [191.13-207.45]","742 086 [715 244-770 146]","382 472 [367 221-397 917]","359 614 [345 493-374 658]"
"Bangladesh"," 1980","205.25 [197.33-213.65]","206.49 [197.91-215.44]","203.93 [195.54-213]","747 778 [719 540-777 732]","385 655 [369 875-402 115]","362 123 [347 385-378 024]"
"Bangladesh"," 1979","209.98 [201.38-218.97]","211.29 [202-221.07]","208.51 [199.43-218.37]","751 524 [721 287-783 252]","387 608 [370 785-405 022]","363 916 [348 124-380 735]"
"Bangladesh"," 1978","214.31 [205.29-223.84]","215.85 [206.08-226.23]","212.58 [203-223.01]","753 816 [722 545-786 687]","389 062 [371 582-407 431]","364 754 [348 324-382 377]"
"Bangladesh"," 1977","218.09 [208.61-228.2]","219.95 [209.78-230.8]","216.03 [205.95-227.01]","754 231 [721 892-788 626]","389 704 [371 796-408 593]","364 527 [347 585-382 730]"
"Bangladesh"," 1976","221.32 [211.3-231.88]","223.63 [212.88-234.96]","218.88 [208.29-230.04]","750 267 [716 853-785 411]","388 206 [369 783-407 512]","362 061 [344 725-380 359]"
"Bangladesh"," 1975","223.83 [213.35-234.78]","226.69 [215.29-238.42]","220.78 [209.79-232.44]","742 788 [708 683-778 481]","385 366 [366 363-404 855]","357 422 [339 833-375 806]"
"Bangladesh"," 1974","225.62 [214.62-237.08]","228.67 [216.82-241.01]","222.41 [210.77-234.53]","733 697 [698 899-770 030]","381 017 [361 777-401 017]","352 680 [334 624-371 289]"
"Bangladesh"," 1973","226.86 [215.46-238.56]","230.05 [217.79-242.64]","223.29 [211.44-235.92]","722 450 [687 018-758 624]","375 670 [356 015-395 505]","346 780 [328 620-365 598]"
"Bangladesh"," 1972","227.47 [215.84-239.67]","231.01 [218.35-243.9]","223.71 [211.52-236.82]","706 005 [671 422-741 949]","367 553 [348 103-386 974]","338 452 [320 625-357 384]"
"Bangladesh"," 1971","373.2 [353.36-394.27]","376.99 [355.51-398.67]","369.2 [348.58-391.35]","1 212 237 [1 144 977-1 283 826]","625 622 [588 423-663 218]","586 615 [552 076-624 058]"
"Bangladesh"," 1970","273.09 [258.16-288.76]","277.2 [260.84-293.8]","268.83 [253.14-285.66]","841 740 [795 910-890 207]","437 097 [411 157-463 258]","404 643 [380 900-430 198]"
"Bangladesh"," 1969","228.62 [215.59-242.05]","232.92 [218.68-247.45]","223.98 [210.44-238.36]","679 277 [641 320-718 263]","354 531 [333 057-376 085]","324 746 [305 197-345 218]"
"Bangladesh"," 1968","229.58 [216.17-243.44]","233.91 [219.33-249]","224.93 [210.83-239.71]","663 889 [625 852-703 312]","346 422 [325 163-368 261]","317 467 [297 728-338 004]"
"Bangladesh"," 1967","231.16 [217.13-245.58]","235.68 [220.69-251.27]","226.33 [211.84-241.58]","650 875 [611 997-690 566]","339 754 [318 449-361 706]","311 121 [291 272-331 677]"
"Bangladesh"," 1966","233.47 [218.81-248.74]","238.11 [222.11-254.37]","228.62 [213.45-244.42]","640 901 [601 394-681 878]","334 482 [312 376-356 869]","306 419 [286 411-327 211]"
"Bangladesh"," 1965","236.6 [221.15-252.73]","241.35 [224.61-258.51]","231.41 [215.66-247.98]","634 753 [594 161-676 869]","331 484 [308 793-354 248]","303 269 [282 879-324 538]"
"Bangladesh"," 1964","240.48 [224.02-257.53]","245.29 [227.69-263.61]","235.24 [218.51-252.67]","630 351 [588 210-674 038]","329 170 [305 994-352 942]","301 181 [280 072-322 789]"
"Bangladesh"," 1963","245.08 [227.65-263.18]","250.08 [231.46-269.56]","239.55 [221.69-258.37]","626 926 [583 400-671 615]","327 634 [303 572-352 207]","299 292 [277 260-321 892]"
"Bangladesh"," 1962","250.24 [231.78-269.84]","255.51 [235.64-276.45]","244.56 [225.64-264.77]","622 678 [577 719-669 818]","325 583 [300 805-351 307]","297 095 [274 420-320 820]"
"Bangladesh"," 1961","255.97 [236.35-277.2]","261.43 [240.44-284.17]","250.18 [229.98-272.1]","617 057 [570 936-666 423]","322 672 [297 302-349 713]","294 385 [270 984-319 297]"
"Bangladesh"," 1960","262.04 [241.22-285.41]","267.76 [245.59-292.52]","256.1 [234.74-279.96]","610 813 [563 538-663 197]","319 438 [293 741-347 862]","291 375 [267 642-317 468]"
"Bangladesh"," 1959","268.69 [246.42-293.86]","274.62 [250.97-301.38]","262.58 [239.8-288.27]","605 907 [557 088-660 609]","316 887 [290 216-346 499]","289 020 [264 485-316 418]"
"Bangladesh"," 1958","275.7 [251.56-303.31]","281.97 [256.47-311.04]","269.37 [244.76-297.31]","602 911 [552 129-661 020]","315 413 [287 880-346 563]","287 498 [261 981-316 298]"
"Bangladesh"," 1957","283.1 [257.17-312.85]","289.33 [261.88-320.53]","276.57 [250.06-306.99]","600 961 [547 458-661 773]","314 287 [285 386-346 721]","286 674 [259 929-316 816]"
"Bangladesh"," 1956","290.82 [262.7-323.2]","297.17 [267.54-330.98]","284.11 [255.8-317.17]","599 690 [543 792-663 486]","313 596 [283 427-347 661]","286 094 [258 304-317 795]"
"Bangladesh"," 1955","298.71 [268.64-334.48]","305.39 [273.43-342.57]","292.16 [261.44-328.15]","598 285 [540 396-666 272]","312 762 [281 468-349 165]","285 523 [256 693-319 371]"
"Bangladesh"," 1954","307.34 [274.48-346.66]","314.11 [279.35-355.55]","300.51 [267.59-340.13]","","",""
"Bangladesh"," 1953","316.39 [279.92-359.73]","323.39 [285.09-369.21]","309.36 [272.74-352.83]","","",""
"Bangladesh"," 1952","325.53 [285.26-374.52]","332.71 [290.76-383.36]","318.1 [278.12-366.51]","","",""
"Bangladesh"," 1951","335.2 [290.55-390.34]","342.7 [296.45-400.17]","327.55 [282.74-382.37]","","",""
"Bangladesh"," 1950","345.28 [295.51-408.42]","353.18 [301.01-418.43]","337.06 [287.11-398.91]","","",""
"Bhutan"," 2021","26.69 [15.76-44.49]","29.03 [17.19-48.46]","24.2 [14.22-40.65]","263 [155-439]","147 [87-245]","116 [68-196]"
"Bhutan"," 2020","27.55 [16.91-44.56]","29.99 [18.35-48.28]","25.03 [15.26-40.54]","276 [169-449]","154 [94-249]","122 [75-200]"
"Bhutan"," 2019","28.52 [18.09-44.26]","31.07 [19.64-48.44]","25.92 [16.36-40.33]","298 [188-464]","166 [105-260]","132 [83-207]"
"Bhutan"," 2018","29.59 [19.45-44.26]","32.2 [21.08-48.35]","26.88 [17.6-40.2]","329 [216-494]","183 [119-276]","146 [95-219]"
"Bhutan"," 2017","30.64 [20.92-44.25]","33.34 [22.68-48.24]","27.82 [18.89-40.28]","362 [247-525]","201 [137-293]","161 [109-233]"
"Bhutan"," 2016","31.87 [22.42-44.4]","34.62 [24.31-48.32]","28.97 [20.38-40.37]","398 [280-555]","221 [155-309]","177 [124-247]"
"Bhutan"," 2015","33.2 [24.16-44.67]","36.04 [26.19-48.63]","30.26 [21.84-40.74]","430 [313-578]","239 [173-322]","191 [138-257]"
"Bhutan"," 2014","34.66 [25.96-45.23]","37.61 [28.09-49.24]","31.59 [23.48-41.33]","457 [342-597]","254 [190-332]","203 [151-266]"
