"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Albania"," 1985","54.75 [47.18-63.63]","59.45 [51.03-69.32]","49.81 [42.58-58.18]","4 526 [3 907-5 249]","2 550 [2 194-2 968]","1 976 [1 694-2 307]"
"Albania"," 1984","58.91 [49.72-69.75]","63.68 [53.61-75.74]","53.92 [45.16-64.07]","4 831 [4 087-5 704]","2 714 [2 293-3 220]","2 117 [1 781-2 514]"
"Albania"," 1983","63.7 [52.11-77.39]","68.53 [56.05-83.35]","58.56 [47.71-71.34]","5 158 [4 232-6 239]","2 888 [2 371-3 501]","2 270 [1 857-2 756]"
"Albania"," 1982","69.03 [54.73-86.32]","73.8 [58.4-92.49]","63.82 [50.31-80.01]","","",""
"Albania"," 1981","74.79 [57.15-96.96]","79.74 [60.63-103.72]","69.74 [53.05-90.49]","","",""
"Albania"," 1980","81.32 [59.42-109.63]","86.33 [62.71-116.43]","76.24 [55.63-102.84]","","",""
"Albania"," 1979","88.65 [61.47-124.47]","93.29 [64.7-131.52]","83.62 [57.95-117.69]","","",""
"Albania"," 1978","96.36 [63.37-142.01]","101.13 [66.56-149.75]","91.45 [60-135.03]","","",""
"Andorra"," 2021","2.76 [0.73-10.4]","3.08 [0.82-11.61]","2.39 [0.64-9.06]","2 [0-6]","1 [0-3]","1 [0-3]"
"Andorra"," 2020","2.85 [0.78-10.45]","3.17 [0.87-11.69]","2.49 [0.68-9.21]","2 [0-6]","1 [0-4]","1 [0-3]"
"Andorra"," 2019","2.95 [0.83-10.63]","3.3 [0.93-11.93]","2.56 [0.72-9.22]","2 [0-6]","1 [0-4]","1 [0-3]"
"Andorra"," 2018","3.06 [0.88-10.66]","3.44 [0.99-11.96]","2.67 [0.77-9.33]","2 [1-6]","1 [0-4]","1 [0-3]"
"Andorra"," 2017","3.2 [0.97-10.63]","3.57 [1.07-11.92]","2.79 [0.84-9.33]","2 [1-7]","1 [0-4]","1 [0-3]"
"Andorra"," 2016","3.35 [1.07-10.59]","3.74 [1.2-11.88]","2.92 [0.93-9.26]","2 [1-7]","1 [0-4]","1 [0-3]"
"Andorra"," 2015","3.53 [1.2-10.43]","3.95 [1.34-11.67]","3.07 [1.05-9.07]","2 [1-7]","1 [0-4]","1 [0-3]"
"Andorra"," 2014","3.73 [1.36-10.12]","4.17 [1.52-11.4]","3.24 [1.18-8.82]","3 [1-7]","1 [1-4]","2 [0-3]"
"Andorra"," 2013","3.92 [1.54-9.93]","4.4 [1.72-11.18]","3.41 [1.35-8.72]","3 [1-7]","2 [1-4]","1 [0-3]"
"Andorra"," 2012","4.13 [1.74-9.78]","4.62 [1.95-10.92]","3.59 [1.52-8.56]","3 [1-8]","2 [1-4]","1 [1-3]"
"Andorra"," 2011","4.33 [1.95-9.64]","4.89 [2.2-10.92]","3.76 [1.69-8.42]","4 [2-8]","2 [1-5]","2 [1-3]"
"Andorra"," 2010","4.58 [2.19-9.66]","5.17 [2.46-10.97]","3.95 [1.88-8.41]","4 [2-8]","2 [1-5]","2 [1-4]"
"Andorra"," 2009","4.82 [2.41-9.76]","5.45 [2.71-11.02]","4.17 [2.08-8.44]","4 [2-9]","2 [1-5]","2 [1-4]"
"Andorra"," 2008","5.08 [2.64-9.87]","5.74 [3-11.16]","4.37 [2.27-8.49]","4 [2-9]","2 [1-5]","2 [1-4]"
"Andorra"," 2007","5.35 [2.86-10.07]","6.06 [3.23-11.44]","4.61 [2.45-8.67]","5 [2-9]","3 [1-5]","2 [1-4]"
"Andorra"," 2006","5.65 [3.07-10.33]","6.4 [3.48-11.75]","4.87 [2.64-8.91]","5 [3-9]","3 [2-5]","2 [1-4]"
"Andorra"," 2005","5.96 [3.26-10.76]","6.76 [3.7-12.18]","5.11 [2.78-9.27]","5 [3-9]","3 [2-5]","2 [1-4]"
"Andorra"," 2004","6.26 [3.4-11.33]","7.13 [3.88-12.86]","5.34 [2.89-9.72]","5 [3-9]","3 [2-5]","2 [1-4]"
"Andorra"," 2003","6.54 [3.52-11.92]","7.46 [4.02-13.62]","5.59 [3-10.33]","5 [3-9]","3 [2-5]","2 [1-4]"
"Andorra"," 2002","6.87 [3.62-12.88]","7.86 [4.13-14.69]","5.83 [3.07-10.98]","5 [3-10]","3 [2-6]","2 [1-4]"
"Andorra"," 2001","7.22 [3.7-13.84]","8.25 [4.18-15.87]","6.14 [3.14-11.88]","5 [3-10]","3 [2-6]","2 [1-4]"
"Andorra"," 2000","7.61 [3.75-15.23]","8.68 [4.27-17.48]","6.42 [3.17-12.99]","6 [3-12]","4 [2-7]","2 [1-5]"
"Andorra"," 1999","7.98 [3.76-16.83]","9.15 [4.3-19.38]","6.72 [3.17-14.29]","6 [3-13]","3 [2-8]","3 [1-5]"
"Andorra"," 1998","8.4 [3.76-18.68]","9.64 [4.33-21.51]","7.08 [3.15-15.78]","6 [3-14]","3 [2-8]","3 [1-6]"
"Andorra"," 1997","8.86 [3.71-20.79]","10.19 [4.27-24.07]","7.45 [3.12-17.5]","7 [3-15]","4 [2-9]","3 [1-6]"
"Andorra"," 1996","9.37 [3.7-23.18]","10.79 [4.24-26.95]","7.83 [3.08-19.54]","7 [3-16]","4 [2-10]","3 [1-7]"
"Andorra"," 1995","9.88 [3.65-26.18]","11.4 [4.23-30.33]","8.25 [3.02-21.84]","7 [2-18]","4 [1-11]","3 [1-7]"
"Andorra"," 1994","10.47 [3.59-29.37]","12.1 [4.13-34.37]","8.67 [2.98-24.56]","7 [2-20]","4 [1-12]","3 [1-8]"
"Andorra"," 1993","11.08 [3.47-33.57]","12.86 [4.04-39.07]","9.18 [2.89-27.92]","8 [2-23]","5 [1-14]","3 [1-9]"
"Andorra"," 1992","11.72 [3.38-38.27]","13.63 [3.95-44.87]","9.65 [2.79-31.74]","8 [2-25]","5 [1-15]","3 [1-10]"
"Andorra"," 1991","12.39 [3.32-43.65]","14.49 [3.87-51.12]","10.14 [2.69-36.01]","8 [2-27]","5 [1-16]","3 [1-11]"
"Andorra"," 1990","13.12 [3.22-49.94]","15.35 [3.78-58.48]","10.72 [2.62-40.75]","8 [2-30]","5 [1-18]","3 [1-12]"
"Andorra"," 1989","13.86 [3.13-57.11]","16.29 [3.66-67.24]","11.3 [2.54-46.75]","","",""
"Andorra"," 1988","14.71 [3-65.59]","17.3 [3.53-77.36]","11.96 [2.44-53.43]","","",""
"Andorra"," 1987","15.57 [2.93-76.19]","18.31 [3.43-89.7]","12.63 [2.38-61.82]","","",""
"Andorra"," 1986","16.47 [2.8-88.6]","19.44 [3.29-104.33]","13.38 [2.27-71.8]","","",""
"Andorra"," 1985","17.47 [2.69-104.33]","20.62 [3.19-124.16]","14.09 [2.16-84.04]","","",""
"Armenia"," 2021","10.72 [8.43-13.41]","11.78 [9.23-14.76]","9.62 [7.54-12.13]","372 [293-465]","213 [168-268]","159 [125-200]"
"Armenia"," 2020","11.26 [9-13.88]","12.38 [9.83-15.27]","10.09 [8.02-12.56]","407 [325-501]","234 [186-289]","173 [138-215]"
"Armenia"," 2019","11.83 [9.57-14.38]","12.99 [10.46-15.82]","10.6 [8.54-13.02]","444 [360-540]","255 [207-312]","189 [152-232]"
"Armenia"," 2018","12.42 [10.16-14.92]","13.67 [11.11-16.46]","11.11 [9.06-13.5]","482 [395-579]","278 [227-336]","204 [167-248]"
"Armenia"," 2017","13.04 [10.79-15.52]","14.35 [11.8-17.15]","11.66 [9.61-14]","530 [438-630]","307 [253-367]","223 [185-269]"
"Armenia"," 2016","13.71 [11.42-16.17]","15.07 [12.49-17.88]","12.26 [10.16-14.62]","578 [482-682]","335 [279-398]","243 [202-290]"
"Armenia"," 2015","14.41 [12.09-16.86]","15.83 [13.25-18.67]","12.88 [10.72-15.25]","633 [531-741]","368 [309-435]","265 [222-315]"
"Armenia"," 2014","15.14 [12.78-17.6]","16.66 [14.03-19.51]","13.53 [11.35-15.94]","675 [570-785]","393 [332-462]","282 [237-333]"
"Armenia"," 2013","15.91 [13.51-18.4]","17.52 [14.82-20.41]","14.22 [11.98-16.62]","695 [591-804]","405 [345-474]","290 [245-340]"
"Armenia"," 2012","16.75 [14.3-19.22]","18.44 [15.64-21.31]","14.96 [12.65-17.36]","712 [608-816]","416 [354-482]","296 [251-344]"
"Armenia"," 2011","17.62 [15.11-20.06]","19.39 [16.53-22.28]","15.73 [13.4-18.14]","722 [619-822]","422 [362-487]","300 [256-346]"
"Armenia"," 2010","18.54 [15.97-20.97]","20.4 [17.45-23.28]","16.55 [14.14-18.95]","767 [661-867]","449 [386-514]","318 [272-365]"
"Armenia"," 2009","19.52 [16.85-21.93]","21.45 [18.43-24.35]","17.4 [14.95-19.84]","789 [682-886]","463 [399-527]","326 [281-373]"
"Armenia"," 2008","20.52 [17.82-22.94]","22.57 [19.5-25.45]","18.29 [15.81-20.75]","789 [685-881]","464 [402-524]","325 [282-370]"
"Armenia"," 2007","21.59 [18.86-24.03]","23.74 [20.59-26.65]","19.26 [16.74-21.73]","798 [698-889]","469 [409-529]","329 [287-372]"
"Armenia"," 2006","22.71 [19.94-25.19]","24.98 [21.75-27.96]","20.26 [17.66-22.74]","858 [754-951]","505 [442-567]","353 [309-397]"
"Armenia"," 2005","23.89 [21.07-26.45]","26.28 [23.01-29.33]","21.32 [18.67-23.9]","943 [832-1 043]","556 [489-622]","387 [340-435]"
"Armenia"," 2004","25.11 [22.24-27.77]","27.65 [24.3-30.77]","22.41 [19.75-25.09]","979 [867-1 082]","578 [510-646]","401 [355-451]"
"Armenia"," 2003","26.41 [23.5-29.15]","29.05 [25.66-32.33]","23.59 [20.84-26.36]","1 016 [905-1 122]","599 [532-671]","417 [370-468]"
"Armenia"," 2002","27.77 [24.79-30.61]","30.54 [27.07-33.96]","24.8 [21.99-27.69]","1 071 [957-1 181]","632 [563-706]","439 [391-492]"
"Armenia"," 2001","29.2 [26.15-32.15]","32.11 [28.55-35.62]","26.1 [23.19-29.09]","1 160 [1 038-1 277]","684 [611-763]","476 [425-533]"
