"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Antigua and Barbuda"," 2019","6.59 [4.65-9.43]","7.12 [5.01-10.22]","6.03 [4.24-8.64]","7 [5-10]","4 [3-5]","3 [2-4]"
"Antigua and Barbuda"," 2018","6.84 [5.01-9.43]","7.4 [5.38-10.19]","6.25 [4.56-8.65]","7 [5-10]","4 [3-5]","3 [2-4]"
"Antigua and Barbuda"," 2017","7.12 [5.37-9.43]","7.69 [5.78-10.21]","6.52 [4.9-8.68]","8 [6-10]","5 [3-6]","3 [3-5]"
"Antigua and Barbuda"," 2016","7.43 [5.79-9.49]","8.02 [6.23-10.29]","6.8 [5.27-8.76]","8 [6-10]","4 [3-6]","4 [3-5]"
"Antigua and Barbuda"," 2015","7.75 [6.24-9.59]","8.38 [6.72-10.39]","7.1 [5.68-8.86]","9 [7-11]","5 [4-6]","4 [3-5]"
"Antigua and Barbuda"," 2014","8.13 [6.72-9.78]","8.81 [7.23-10.63]","7.41 [6.09-9.01]","9 [8-11]","5 [4-6]","4 [3-5]"
"Antigua and Barbuda"," 2013","8.55 [7.23-10.06]","9.27 [7.79-10.95]","7.79 [6.56-9.26]","10 [8-12]","6 [5-6]","4 [4-5]"
"Antigua and Barbuda"," 2012","9.02 [7.78-10.43]","9.8 [8.4-11.39]","8.2 [7.02-9.57]","11 [10-13]","6 [5-7]","5 [4-6]"
"Antigua and Barbuda"," 2011","9.53 [8.31-10.9]","10.35 [8.96-11.9]","8.66 [7.5-10.02]","12 [10-14]","7 [6-8]","5 [5-6]"
"Antigua and Barbuda"," 2010","10.06 [8.82-11.46]","10.92 [9.51-12.48]","9.14 [7.95-10.51]","13 [12-15]","7 [6-8]","6 [5-7]"
"Antigua and Barbuda"," 2009","10.6 [9.33-12.04]","11.54 [10.08-13.16]","9.63 [8.4-11.02]","15 [13-17]","8 [7-9]","7 [6-8]"
"Antigua and Barbuda"," 2008","11.16 [9.85-12.69]","12.15 [10.64-13.84]","10.14 [8.87-11.6]","15 [13-17]","8 [7-9]","7 [6-8]"
"Antigua and Barbuda"," 2007","11.75 [10.4-13.3]","12.8 [11.23-14.55]","10.66 [9.34-12.17]","15 [13-17]","8 [7-9]","7 [6-8]"
"Antigua and Barbuda"," 2006","12.34 [10.96-13.93]","13.45 [11.85-15.28]","11.2 [9.84-12.74]","16 [14-18]","9 [8-10]","7 [6-8]"
"Antigua and Barbuda"," 2005","12.94 [11.52-14.56]","14.11 [12.48-15.98]","11.71 [10.34-13.29]","16 [15-18]","9 [8-10]","7 [6-8]"
"Antigua and Barbuda"," 2004","13.53 [12.09-15.17]","14.75 [13.12-16.66]","12.25 [10.84-13.86]","17 [16-20]","9 [9-11]","8 [7-9]"
"Antigua and Barbuda"," 2003","14.1 [12.65-15.79]","15.4 [13.71-17.33]","12.76 [11.31-14.41]","19 [17-21]","11 [9-12]","8 [7-9]"
"Antigua and Barbuda"," 2002","14.65 [13.15-16.37]","15.99 [14.27-17.96]","13.24 [11.79-14.92]","20 [18-22]","11 [10-12]","9 [8-10]"
"Antigua and Barbuda"," 2001","15.12 [13.62-16.85]","16.51 [14.77-18.5]","13.68 [12.2-15.39]","21 [19-24]","11 [11-13]","10 [9-11]"
"Antigua and Barbuda"," 2000","15.53 [14.02-17.29]","16.94 [15.2-18.98]","14.05 [12.54-15.75]","22 [20-24]","12 [11-13]","10 [9-11]"
"Antigua and Barbuda"," 1999","15.84 [14.3-17.6]","17.27 [15.5-19.32]","14.33 [12.8-16.05]","21 [19-23]","12 [10-13]","9 [8-11]"
"Antigua and Barbuda"," 1998","16.02 [14.47-17.76]","17.46 [15.67-19.52]","14.49 [12.94-16.22]","22 [20-24]","12 [11-14]","10 [9-11]"
"Antigua and Barbuda"," 1997","16.06 [14.51-17.85]","17.5 [15.7-19.58]","14.53 [12.99-16.29]","23 [20-25]","13 [11-14]","10 [9-11]"
"Antigua and Barbuda"," 1996","15.97 [14.42-17.76]","17.41 [15.59-19.47]","14.46 [12.91-16.23]","22 [20-24]","12 [11-14]","10 [9-11]"
"Antigua and Barbuda"," 1995","15.75 [14.16-17.55]","17.15 [15.35-19.23]","14.26 [12.7-16.03]","20 [18-23]","11 [10-13]","9 [8-10]"
"Antigua and Barbuda"," 1994","15.45 [13.85-17.25]","16.79 [15-18.87]","14 [12.44-15.77]","19 [17-21]","10 [9-12]","9 [8-10]"
"Antigua and Barbuda"," 1993","15.09 [13.5-16.89]","16.4 [14.62-18.47]","13.69 [12.13-15.43]","19 [17-21]","11 [9-12]","8 [7-9]"
"Antigua and Barbuda"," 1992","14.72 [13.13-16.52]","15.99 [14.19-18.07]","13.37 [11.8-15.12]","18 [16-20]","10 [9-11]","8 [7-9]"
"Antigua and Barbuda"," 1991","14.37 [12.74-16.22]","15.6 [13.78-17.72]","13.07 [11.49-14.86]","18 [16-21]","10 [9-11]","8 [7-9]"
"Antigua and Barbuda"," 1990","14.06 [12.42-15.95]","15.26 [13.44-17.39]","12.81 [11.2-14.62]","19 [17-21]","11 [9-12]","8 [7-10]"
"Antigua and Barbuda"," 1989","13.83 [12.16-15.74]","15 [13.12-17.18]","12.59 [10.98-14.44]","19 [16-21]","11 [9-12]","8 [7-10]"
"Antigua and Barbuda"," 1988","13.66 [12.01-15.6]","14.82 [12.95-16.97]","12.46 [10.85-14.33]","18 [16-21]","10 [9-12]","8 [7-10]"
"Antigua and Barbuda"," 1987","13.58 [11.94-15.54]","14.72 [12.86-16.89]","12.39 [10.78-14.28]","18 [16-21]","10 [9-12]","8 [7-9]"
"Antigua and Barbuda"," 1986","13.59 [11.95-15.53]","14.73 [12.85-16.88]","12.4 [10.79-14.26]","19 [17-22]","11 [9-12]","8 [7-10]"
"Antigua and Barbuda"," 1985","13.72 [12.08-15.63]","14.85 [12.98-16.97]","12.53 [10.92-14.35]","19 [17-22]","10 [9-12]","9 [8-10]"
"Antigua and Barbuda"," 1984","13.95 [12.31-15.82]","15.1 [13.24-17.18]","12.75 [11.15-14.56]","19 [17-22]","10 [9-12]","9 [8-10]"
"Antigua and Barbuda"," 1983","14.32 [12.69-16.18]","15.49 [13.63-17.57]","13.1 [11.49-14.9]","20 [18-23]","11 [10-13]","9 [8-10]"
"Antigua and Barbuda"," 1982","14.83 [13.15-16.73]","16.03 [14.18-18.17]","13.57 [11.96-15.4]","21 [19-24]","12 [10-13]","9 [8-11]"
"Antigua and Barbuda"," 1981","15.49 [13.77-17.45]","16.73 [14.8-18.95]","14.19 [12.52-16.1]","22 [20-25]","12 [11-14]","10 [9-11]"
"Antigua and Barbuda"," 1980","16.31 [14.53-18.35]","17.62 [15.57-19.91]","14.94 [13.21-16.92]","25 [22-28]","14 [12-15]","11 [10-13]"
"Antigua and Barbuda"," 1979","17.27 [15.39-19.39]","18.64 [16.54-21]","15.82 [14.02-17.88]","26 [24-30]","14 [13-16]","12 [11-14]"
"Antigua and Barbuda"," 1978","18.33 [16.39-20.54]","19.8 [17.59-22.26]","16.8 [14.92-18.95]","28 [25-31]","15 [13-17]","13 [11-14]"
"Antigua and Barbuda"," 1977","19.51 [17.51-21.77]","21.05 [18.78-23.57]","17.9 [15.97-20.1]","30 [27-33]","17 [14-18]","13 [12-15]"
"Antigua and Barbuda"," 1976","20.77 [18.73-23.06]","22.4 [20.08-24.98]","19.04 [17.05-21.29]","31 [28-34]","17 [15-19]","14 [12-16]"
"Antigua and Barbuda"," 1975","22.08 [20-24.38]","23.82 [21.43-26.4]","20.25 [18.2-22.55]","33 [30-36]","18 [16-20]","15 [13-17]"
"Antigua and Barbuda"," 1974","23.49 [21.37-25.8]","25.27 [22.87-27.94]","21.61 [19.53-23.95]","36 [33-40]","20 [18-22]","16 [15-18]"
"Antigua and Barbuda"," 1973","25.04 [22.89-27.41]","26.93 [24.47-29.69]","23.06 [20.89-25.48]","40 [36-44]","22 [20-24]","18 [16-20]"
"Antigua and Barbuda"," 1972","26.84 [24.59-29.32]","28.79 [26.22-31.66]","24.77 [22.51-27.34]","44 [40-48]","24 [22-26]","20 [18-22]"
"Antigua and Barbuda"," 1971","29 [26.57-31.64]","31.11 [28.35-34.14]","26.76 [24.38-29.48]","49 [45-53]","27 [24-29]","22 [20-24]"
"Antigua and Barbuda"," 1970","31.67 [29.02-34.53]","33.91 [30.9-37.18]","29.31 [26.7-32.21]","55 [50-60]","30 [27-33]","25 [23-28]"
"Antigua and Barbuda"," 1969","34.94 [32.04-37.97]","37.33 [34.08-40.86]","32.39 [29.53-35.51]","63 [58-68]","34 [31-37]","29 [26-31]"
"Antigua and Barbuda"," 1968","38.81 [35.7-42.14]","41.4 [37.94-45.28]","36.05 [32.91-39.41]","72 [66-78]","39 [36-43]","33 [30-36]"
