"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Iraq"," 2002","42.68 [38.81-46.86]","46.06 [41.77-50.73]","39.13 [35.39-43.16]","38 352 [34 892-42 083]","21 269 [19 308-23 415]","17 083 [15 466-18 837]"
"Iraq"," 2001","43.54 [39.69-47.74]","47.01 [42.75-51.67]","39.9 [36.2-43.99]","38 538 [35 158-42 225]","21 375 [19 463-23 483]","17 163 [15 586-18 914]"
"Iraq"," 2000","44.45 [40.58-48.66]","47.98 [43.71-52.7]","40.76 [37.04-44.84]","38 587 [35 256-42 206]","21 389 [19 508-23 487]","17 198 [15 644-18 911]"
"Iraq"," 1999","45.38 [41.45-49.63]","48.97 [44.69-53.71]","41.6 [37.82-45.68]","38 536 [35 222-42 104]","21 355 [19 501-23 394]","17 181 [15 631-18 849]"
"Iraq"," 1998","46.31 [42.36-50.6]","49.92 [45.55-54.68]","42.49 [38.73-46.68]","38 417 [35 167-41 936]","21 269 [19 424-23 278]","17 148 [15 642-18 822]"
"Iraq"," 1997","47.25 [43.23-51.64]","50.87 [46.47-55.7]","43.42 [39.56-47.62]","38 172 [34 952-41 679]","21 106 [19 293-23 085]","17 066 [15 558-18 700]"
"Iraq"," 1996","48.17 [44.09-52.67]","51.83 [47.36-56.77]","44.28 [40.39-48.57]","37 953 [34 766-41 454]","20 972 [19 176-22 941]","16 981 [15 496-18 606]"
"Iraq"," 1995","49.11 [44.96-53.61]","52.7 [48.15-57.68]","45.23 [41.26-49.66]","37 933 [34 761-41 370]","20 914 [19 104-22 840]","17 019 [15 529-18 645]"
"Iraq"," 1994","50.02 [45.78-54.59]","53.6 [48.88-58.71]","46.21 [42.12-50.66]","37 447 [34 303-40 828]","20 601 [18 801-22 539]","16 846 [15 363-18 443]"
"Iraq"," 1993","50.97 [46.62-55.61]","54.53 [49.73-59.68]","47.14 [42.99-51.67]","36 781 [33 671-40 102]","20 209 [18 431-22 088]","16 572 [15 115-18 144]"
"Iraq"," 1992","51.91 [47.46-56.7]","55.55 [50.6-60.77]","48.05 [43.8-52.71]","36 533 [33 424-39 872]","20 068 [18 290-21 932]","16 465 [15 013-18 042]"
"Iraq"," 1991","52.9 [48.28-57.81]","56.66 [51.51-62.08]","48.95 [44.55-53.76]","36 709 [33 537-40 073]","20 183 [18 365-22 091]","16 526 [15 057-18 133]"
"Iraq"," 1990","54 [49.19-59.04]","57.82 [52.46-63.36]","49.95 [45.38-54.93]","36 743 [33 514-40 126]","20 206 [18 352-22 115]","16 537 [15 033-18 162]"
"Iraq"," 1989","55.14 [50.19-60.32]","58.98 [53.45-64.72]","51.09 [46.37-56.27]","36 338 [33 108-39 714]","19 961 [18 111-21 872]","16 377 [14 878-18 016]"
"Iraq"," 1988","56.41 [51.28-61.87]","60.32 [54.63-66.24]","52.32 [47.4-57.6]","36 104 [32 845-39 554]","19 821 [17 975-21 750]","16 283 [14 773-17 914]"
"Iraq"," 1987","57.83 [52.51-63.49]","61.81 [55.94-67.95]","53.64 [48.53-59.21]","36 031 [32 746-39 520]","19 778 [17 916-21 721]","16 253 [14 718-17 927]"
"Iraq"," 1986","59.42 [53.99-65.29]","63.49 [57.43-69.93]","55.09 [49.85-60.91]","36 308 [33 017-39 867]","19 933 [18 043-21 923]","16 375 [14 827-18 083]"
"Iraq"," 1985","61.17 [55.54-67.31]","65.28 [59.08-72.02]","56.83 [51.4-62.83]","36 716 [33 377-40 359]","20 129 [18 235-22 185]","16 587 [15 019-18 321]"
"Iraq"," 1984","63.11 [57.32-69.49]","67.35 [60.87-74.4]","58.62 [52.96-64.85]","36 867 [33 518-40 550]","20 212 [18 285-22 293]","16 655 [15 057-18 404]"
"Iraq"," 1983","65.21 [59.16-71.88]","69.52 [62.76-76.85]","60.64 [54.84-67.22]","37 027 [33 627-40 770]","20 278 [18 320-22 388]","16 749 [15 157-18 541]"
"Iraq"," 1982","67.51 [61.19-74.4]","71.89 [64.89-79.52]","62.86 [56.78-69.7]","37 457 [33 988-41 213]","20 491 [18 514-22 630]","16 966 [15 339-18 791]"
"Iraq"," 1981","69.99 [63.52-77.07]","74.45 [67.19-82.33]","65.34 [58.93-72.37]","37 942 [34 470-41 742]","20 721 [18 725-22 893]","17 221 [15 552-19 064]"
"Iraq"," 1980","72.75 [65.91-80.15]","77.22 [69.73-85.4]","67.9 [61.29-75.24]","38 592 [34 998-42 464]","21 055 [19 017-23 238]","17 537 [15 829-19 394]"
"Iraq"," 1979","75.7 [68.6-83.36]","80.32 [72.41-88.81]","70.7 [63.77-78.37]","39 384 [35 727-43 332]","21 477 [19 369-23 695]","17 907 [16 156-19 816]"
"Iraq"," 1978","78.88 [71.41-86.99]","83.65 [75.39-92.5]","73.78 [66.51-81.93]","40 263 [36 482-44 347]","21 935 [19 782-24 220]","18 328 [16 533-20 322]"
"Iraq"," 1977","82.33 [74.45-90.81]","87.27 [78.58-96.59]","77.02 [69.42-85.69]","41 288 [37 388-45 499]","22 487 [20 264-24 840]","18 801 [16 954-20 884]"
"Iraq"," 1976","85.99 [77.77-94.9]","91.1 [82.03-101.05]","80.58 [72.52-89.75]","42 404 [38 397-46 748]","23 073 [20 798-25 550]","19 331 [17 414-21 507]"
"Iraq"," 1975","89.97 [81.27-99.48]","95.04 [85.55-105.72]","84.51 [76.08-94.19]","43 574 [39 414-48 117]","23 653 [21 304-26 250]","19 921 [17 941-22 161]"
"Iraq"," 1974","94.19 [85.08-104.36]","99.39 [89.37-110.62]","88.57 [79.78-98.71]","44 680 [40 411-49 422]","24 229 [21 799-26 909]","20 451 [18 429-22 746]"
"Iraq"," 1973","98.59 [89.02-109.44]","103.9 [93.35-115.66]","92.93 [83.48-103.78]","45 689 [41 309-50 621]","24 737 [22 251-27 490]","20 952 [18 848-23 372]"
"Iraq"," 1972","103.22 [93.14-114.55]","108.63 [97.63-121.09]","97.44 [87.42-108.88]","46 701 [42 200-51 736]","25 254 [22 717-28 086]","21 447 [19 252-23 910]"
"Iraq"," 1971","108.04 [97.37-120.1]","113.55 [102.08-126.84]","102.17 [91.45-114.35]","47 608 [42 982-52 853]","25 709 [23 147-28 650]","21 899 [19 630-24 464]"
"Iraq"," 1970","113.09 [101.83-126]","118.91 [106.46-132.91]","107.13 [95.84-120.11]","48 419 [43 676-53 832]","26 133 [23 463-29 185]","22 286 [19 974-24 960]"
"Iraq"," 1969","118.62 [106.59-132.4]","124.38 [111.32-139.32]","112.48 [100.39-126.08]","49 164 [44 256-54 730]","26 490 [23 745-29 590]","22 674 [20 255-25 365]"
"Iraq"," 1968","124.33 [111.65-138.93]","130.33 [116.41-146.39]","118.11 [105.16-132.78]","49 749 [44 765-55 484]","26 778 [23 977-30 006]","22 971 [20 490-25 788]"
"Iraq"," 1967","130.45 [116.84-146.24]","136.61 [121.83-153.85]","124.06 [110.39-140.13]","50 513 [45 356-56 504]","27 160 [24 278-30 544]","23 353 [20 829-26 334]"
"Iraq"," 1966","137.2 [122.51-154.09]","143.27 [127.5-161.81]","130.59 [116.1-147.71]","51 272 [45 863-57 446]","27 526 [24 532-30 970]","23 746 [21 129-26 768]"
"Iraq"," 1965","144.28 [128.71-162.55]","150.6 [133.6-170.52]","137.6 [121.91-156.12]","51 634 [46 190-58 018]","27 706 [24 650-31 265]","23 928 [21 255-27 061]"
"Iraq"," 1964","152.12 [135.38-171.69]","158.59 [140.26-180.09]","145.23 [128.26-165.27]","51 953 [46 403-58 413]","27 868 [24 724-31 516]","24 085 [21 327-27 297]"
"Iraq"," 1963","160.64 [142.4-181.59]","167.26 [147.46-190]","153.53 [135.35-175.23]","52 144 [46 430-58 673]","27 961 [24 728-31 629]","24 183 [21 382-27 466]"
"Iraq"," 1962","169.85 [149.98-192.61]","176.54 [155.26-201.31]","162.73 [142.91-186.12]","49 604 [44 005-56 007]","26 547 [23 432-30 123]","23 057 [20 329-26 272]"
"Iraq"," 1961","179.86 [158.44-204.9]","186.6 [163.61-213.63]","172.58 [151.14-198.13]","46 236 [40 882-52 459]","24 664 [21 700-28 112]","21 572 [18 944-24 667]"
"Iraq"," 1960","190.61 [167.79-218.13]","197.73 [173.29-227.23]","183.12 [160.17-211]","46 723 [41 242-53 295]","24 882 [21 877-28 461]","21 841 [19 154-25 048]"
"Iraq"," 1959","202.43 [177.93-232.18]","209.65 [183.48-241.21]","194.81 [169.82-224.9]","48 048 [42 328-54 937]","25 511 [22 403-29 260]","22 537 [19 695-25 916]"
"Iraq"," 1958","215.22 [188.82-247.62]","222.9 [194.51-257.14]","207.19 [180.54-239.6]","49 968 [43 937-57 207]","26 475 [23 163-30 397]","23 493 [20 529-27 056]"
"Iraq"," 1957","229.07 [200.56-263.99]","237.28 [206.5-273.72]","220.58 [191.95-255.51]","57 372 [50 347-65 797]","30 411 [26 552-34 894]","26 961 [23 546-31 088]"
"Iraq"," 1956","244.09 [213.2-281.1]","252.46 [219.66-291.7]","234.99 [203.98-272.21]","65 228 [57 176-74 814]","34 589 [30 191-39 725]","30 639 [26 680-35 316]"
"Iraq"," 1955","259.76 [226.76-299.61]","268.75 [233.63-311.44]","250.27 [217.51-290.03]","","",""
"Iraq"," 1954","276.67 [241.57-319.19]","286.1 [248.6-331.82]","266.74 [232.1-308.65]","","",""
"Iraq"," 1953","294.52 [257.46-340.17]","304.85 [264.59-353.5]","284.14 [246.64-329.31]","","",""
"Iraq"," 1952","313.59 [274.09-362.64]","324.64 [281.53-375.89]","302.85 [262.89-350.92]","","",""
"Iraq"," 1951","333.67 [291.27-385.96]","345.39 [299.22-400.01]","322.28 [279.51-373.51]","","",""
"Iraq"," 1950","354.76 [309.27-410.49]","","","","",""
"Iraq"," 1949","377.19 [327.74-436.74]","","","","",""
"Iraq"," 1948","400.46 [346.23-465.46]","","","","",""
"Iraq"," 1947","425.14 [364.75-497.7]","","","","",""
"Iraq"," 1946","450.97 [383.64-533.94]","","","","",""
"Iraq"," 1945","477.59 [401.56-574]","","","","",""
"Iraq"," 1944","505.85 [418.71-618.64]","","","","",""
"Iraq"," 1943","535.24 [435.12-667.62]","","","","",""
"Iraq"," 1942","566.77 [451.38-722.63]","","","","",""
"Jordan"," 2021","14.6 [10.2-21.23]","16.03 [11.15-23.26]","13.08 [9.12-19.05]","3 545 [2 477-5 153]","1 994 [1 387-2 889]","1 551 [1 081-2 257]"
"Jordan"," 2020","15.05 [10.89-21.2]","16.53 [11.92-23.2]","13.52 [9.74-19.09]","3 628 [2 625-5 108]","2 039 [1 472-2 861]","1 589 [1 147-2 245]"
"Jordan"," 2019","15.53 [11.64-21.17]","17.08 [12.73-23.29]","13.92 [10.43-19.02]","3 711 [2 783-5 056]","2 088 [1 558-2 848]","1 623 [1 216-2 218]"
"Jordan"," 2018","16.01 [12.32-21.21]","17.61 [13.48-23.43]","14.34 [11.04-19.1]","3 782 [2 913-5 007]","2 129 [1 633-2 832]","1 653 [1 273-2 199]"
"Jordan"," 2017","16.49 [13.05-21.39]","18.12 [14.27-23.53]","14.79 [11.65-19.23]","3 839 [3 040-4 975]","2 160 [1 703-2 802]","1 679 [1 323-2 182]"
"Jordan"," 2016","16.99 [13.74-21.58]","18.69 [15.06-23.75]","15.22 [12.23-19.36]","3 847 [3 112-4 878]","2 167 [1 747-2 751]","1 680 [1 351-2 134]"
"Jordan"," 2015","17.51 [14.42-21.75]","19.26 [15.75-23.95]","15.68 [12.8-19.54]","3 757 [3 096-4 663]","2 117 [1 732-2 631]","1 640 [1 340-2 042]"
"Jordan"," 2014","18.02 [15.03-21.99]","19.83 [16.48-24.21]","16.12 [13.37-19.71]","3 599 [3 003-4 390]","2 028 [1 686-2 476]","1 571 [1 303-1 920]"
"Jordan"," 2013","18.52 [15.69-22.18]","20.37 [17.21-24.43]","16.59 [13.97-19.94]","3 595 [3 045-4 304]","2 024 [1 711-2 428]","1 571 [1 323-1 888]"
"Jordan"," 2012","19.03 [16.38-22.44]","20.94 [17.95-24.72]","17.07 [14.53-20.19]","3 743 [3 221-4 411]","2 106 [1 807-2 488]","1 637 [1 394-1 937]"
"Jordan"," 2011","19.59 [17.05-22.69]","21.54 [18.65-25.03]","17.53 [15.15-20.43]","3 849 [3 352-4 456]","2 167 [1 877-2 516]","1 682 [1 454-1 959]"
"Jordan"," 2010","20.14 [17.75-23.02]","22.14 [19.43-25.4]","18.04 [15.79-20.77]","3 933 [3 467-4 493]","2 212 [1 941-2 535]","1 721 [1 506-1 980]"
"Jordan"," 2009","20.72 [18.44-23.43]","22.76 [20.18-25.83]","18.56 [16.41-21.14]","3 990 [3 552-4 508]","2 242 [1 988-2 540]","1 748 [1 545-1 988]"
"Jordan"," 2008","21.32 [19.1-23.85]","23.4 [20.91-26.27]","19.12 [17.03-21.52]","3 998 [3 584-4 468]","2 243 [2 004-2 514]","1 755 [1 562-1 971]"
"Jordan"," 2007","21.93 [19.8-24.36]","24.05 [21.64-26.82]","19.7 [17.66-22]","3 838 [3 466-4 260]","2 150 [1 936-2 395]","1 688 [1 513-1 883]"
"Jordan"," 2006","22.56 [20.49-24.92]","24.75 [22.37-27.43]","20.28 [18.31-22.53]","3 683 [3 346-4 065]","2 063 [1 865-2 284]","1 620 [1 463-1 799]"
"Jordan"," 2005","23.24 [21.19-25.53]","25.45 [23.11-28.1]","20.91 [18.96-23.12]","3 703 [3 377-4 066]","2 072 [1 881-2 285]","1 631 [1 478-1 801]"
"Jordan"," 2004","23.93 [21.93-26.19]","26.2 [23.87-28.83]","21.55 [19.6-23.71]","3 750 [3 439-4 103]","2 098 [1 912-2 308]","1 652 [1 503-1 817]"
"Jordan"," 2003","24.64 [22.66-26.9]","26.92 [24.62-29.51]","22.25 [20.31-24.46]","3 800 [3 495-4 147]","2 123 [1 941-2 326]","1 677 [1 531-1 842]"
"Jordan"," 2002","25.36 [23.4-27.6]","27.67 [25.38-30.24]","22.95 [20.99-25.14]","3 845 [3 550-4 184]","2 145 [1 969-2 345]","1 700 [1 555-1 862]"
"Jordan"," 2001","26.1 [24.13-28.33]","28.42 [26.15-30.99]","23.67 [21.69-25.88]","3 928 [3 633-4 264]","2 188 [2 014-2 387]","1 740 [1 595-1 902]"
"Jordan"," 2000","26.85 [24.86-29.07]","29.18 [26.9-31.73]","24.4 [22.43-26.61]","4 055 [3 756-4 391]","2 256 [2 079-2 452]","1 799 [1 654-1 961]"
"Jordan"," 1999","27.61 [25.63-29.79]","29.92 [27.63-32.43]","25.15 [23.17-27.34]","4 200 [3 899-4 530]","2 331 [2 152-2 524]","1 869 [1 721-2 030]"
"Jordan"," 1998","28.36 [26.36-30.53]","30.71 [28.4-33.21]","25.9 [23.9-28.06]","4 352 [4 046-4 685]","2 412 [2 232-2 608]","1 940 [1 791-2 102]"
"Jordan"," 1997","29.15 [27.13-31.33]","31.53 [29.21-34.03]","26.64 [24.65-28.82]","4 501 [4 191-4 835]","2 492 [2 309-2 688]","2 009 [1 858-2 172]"
"Jordan"," 1996","29.95 [27.95-32.15]","32.37 [30.05-34.88]","27.43 [25.4-29.63]","4 592 [4 287-4 926]","2 539 [2 359-2 735]","2 053 [1 902-2 217]"
"Jordan"," 1995","30.8 [28.79-33]","33.23 [30.91-35.74]","28.26 [26.2-30.46]","4 615 [4 317-4 942]","2 548 [2 371-2 739]","2 067 [1 917-2 227]"
"Jordan"," 1994","31.69 [29.64-33.91]","34.12 [31.76-36.65]","29.16 [27.06-31.41]","4 586 [4 293-4 905]","2 529 [2 357-2 716]","2 057 [1 911-2 216]"
"Jordan"," 1993","32.64 [30.52-34.9]","35.04 [32.63-37.62]","30.16 [27.98-32.47]","4 534 [4 242-4 844]","2 495 [2 325-2 678]","2 039 [1 893-2 194]"
"Jordan"," 1992","33.69 [31.49-36]","36.02 [33.52-38.67]","31.23 [29-33.63]","4 486 [4 195-4 790]","2 461 [2 292-2 640]","2 025 [1 881-2 179]"
"Jordan"," 1991","34.79 [32.5-37.17]","37.08 [34.49-39.82]","32.37 [30.07-34.82]","4 451 [4 161-4 752]","2 435 [2 266-2 613]","2 016 [1 873-2 167]"
"Jordan"," 1990","35.98 [33.59-38.45]","38.18 [35.51-40.97]","33.67 [31.27-36.21]","4 460 [4 166-4 763]","2 427 [2 259-2 604]","2 033 [1 888-2 185]"
"Jordan"," 1989","37.29 [34.81-39.85]","39.44 [36.69-42.32]","35.02 [32.59-37.67]","4 506 [4 210-4 812]","2 446 [2 276-2 623]","2 060 [1 918-2 215]"
"Jordan"," 1988","38.74 [36.17-41.36]","40.79 [37.95-43.74]","36.58 [33.99-39.32]","4 551 [4 252-4 855]","2 461 [2 291-2 637]","2 090 [1 943-2 245]"
"Jordan"," 1987","40.31 [37.68-43.05]","42.21 [39.3-45.26]","38.33 [35.68-41.16]","4 603 [4 305-4 912]","2 477 [2 307-2 654]","2 126 [1 981-2 282]"
"Jordan"," 1986","42.05 [39.31-44.92]","43.88 [40.83-47.02]","40.12 [37.33-43.09]","4 655 [4 355-4 968]","2 499 [2 328-2 677]","2 156 [2 006-2 313]"
"Jordan"," 1985","43.92 [41.03-46.88]","45.62 [42.5-48.87]","42.12 [39.18-45.15]","4 703 [4 396-5 018]","2 514 [2 344-2 692]","2 189 [2 037-2 345]"
"Jordan"," 1984","45.92 [42.95-49]","47.5 [44.24-50.84]","44.27 [41.21-47.46]","4 772 [4 467-5 089]","2 538 [2 367-2 716]","2 234 [2 081-2 393]"
"Jordan"," 1983","48.07 [44.95-51.31]","49.49 [46.1-53.02]","46.57 [43.41-49.94]","4 852 [4 539-5 174]","2 571 [2 396-2 752]","2 281 [2 128-2 445]"
"Jordan"," 1982","50.33 [47.06-53.75]","51.52 [48.02-55.26]","49.09 [45.74-52.65]","4 943 [4 625-5 275]","2 604 [2 429-2 792]","2 339 [2 181-2 507]"
"Jordan"," 1981","52.71 [49.27-56.33]","53.73 [50.09-57.67]","51.64 [48.1-55.33]","5 060 [4 733-5 404]","2 656 [2 477-2 850]","2 404 [2 240-2 574]"
"Jordan"," 1980","55.21 [51.63-59]","56.08 [52.24-60.17]","54.29 [50.6-58.23]","5 184 [4 851-5 536]","2 714 [2 529-2 911]","2 470 [2 303-2 648]"
"Jordan"," 1979","57.86 [54.18-61.82]","58.55 [54.59-62.8]","57.12 [53.24-61.23]","5 317 [4 982-5 679]","2 775 [2 590-2 976]","2 542 [2 371-2 723]"
"Jordan"," 1978","60.63 [56.79-64.81]","61.16 [57.02-65.57]","60.11 [56.05-64.46]","5 477 [5 133-5 851]","2 852 [2 661-3 057]","2 625 [2 450-2 815]"
"Jordan"," 1977","63.54 [59.52-67.95]","63.91 [59.66-68.57]","63.24 [58.99-67.86]","5 640 [5 287-6 026]","2 931 [2 739-3 144]","2 709 [2 530-2 907]"
"Jordan"," 1976","66.68 [62.44-71.25]","66.91 [62.42-71.83]","66.46 [61.95-71.34]","5 793 [5 429-6 185]","3 007 [2 808-3 227]","2 786 [2 599-2 989]"
"Jordan"," 1975","70 [65.56-74.78]","70.03 [65.33-75.13]","69.93 [65.16-75.08]","5 935 [5 564-6 334]","3 074 [2 869-3 294]","2 861 [2 668-3 068]"
"Jordan"," 1974","73.5 [68.8-78.55]","73.35 [68.37-78.6]","73.64 [68.61-79.12]","6 057 [5 676-6 466]","3 130 [2 919-3 349]","2 927 [2 729-3 141]"
"Jordan"," 1973","77.16 [72.21-82.44]","76.79 [71.52-82.27]","77.53 [72.22-83.31]","6 166 [5 776-6 580]","3 177 [2 961-3 399]","2 989 [2 787-3 207]"
"Jordan"," 1972","81.01 [75.82-86.53]","80.56 [75.03-86.3]","81.52 [75.92-87.57]","6 235 [5 844-6 652]","3 207 [2 992-3 431]","3 028 [2 823-3 250]"
"Jordan"," 1971","85.1 [79.62-90.99]","84.57 [78.77-90.64]","85.69 [79.79-91.97]","6 243 [5 851-6 666]","3 206 [2 991-3 433]","3 037 [2 831-3 258]"
"Jordan"," 1970","89.5 [83.62-95.62]","88.81 [82.66-95.27]","90.17 [83.91-96.78]","6 208 [5 809-6 622]","3 182 [2 965-3 406]","3 026 [2 819-3 243]"
"Jordan"," 1969","94.17 [87.88-100.58]","93.34 [86.74-100.16]","94.96 [88.37-101.97]","6 159 [5 757-6 569]","3 151 [2 931-3 375]","3 008 [2 802-3 225]"
"Jordan"," 1968","99.11 [92.43-105.96]","98.15 [91.18-105.41]","100.02 [92.92-107.48]","6 090 [5 691-6 503]","3 110 [2 891-3 333]","2 980 [2 771-3 197]"
"Jordan"," 1967","104.41 [97.3-111.77]","103.41 [96.04-111.15]","105.38 [97.89-113.41]","6 013 [5 611-6 427]","3 067 [2 850-3 291]","2 946 [2 738-3 164]"
"Jordan"," 1966","110.16 [102.47-117.96]","109.15 [101.21-117.37]","111.09 [103.04-119.69]","5 980 [5 571-6 394]","3 050 [2 830-3 274]","2 930 [2 719-3 149]"
"Jordan"," 1965","116.31 [108.04-124.65]","115.33 [106.81-124.1]","117.26 [108.55-126.53]","5 970 [5 555-6 388]","3 045 [2 822-3 271]","2 925 [2 710-3 150]"
"Jordan"," 1964","122.94 [114.15-132.04]","122.02 [112.91-131.42]","123.9 [114.51-133.92]","5 982 [5 562-6 412]","3 051 [2 826-3 281]","2 931 [2 713-3 164]"
"Jordan"," 1963","130.12 [120.74-140.08]","129.21 [119.35-139.54]","131.17 [120.95-141.83]","6 013 [5 590-6 460]","3 066 [2 838-3 306]","2 947 [2 722-3 182]"
"Jordan"," 1962","137.96 [127.81-148.85]","136.87 [126.4-148.25]","138.96 [127.97-150.64]","6 031 [5 598-6 493]","3 076 [2 843-3 323]","2 955 [2 726-3 197]"
"Jordan"," 1961","146.28 [135.4-158.35]","145.13 [133.84-157.76]","147.45 [135.58-160.23]","6 009 [5 572-6 488]","3 063 [2 829-3 321]","2 946 [2 714-3 195]"
"Jordan"," 1960","155.19 [143.41-168.46]","154.02 [141.71-167.88]","156.62 [143.53-170.6]","5 946 [5 508-6 438]","3 028 [2 794-3 296]","2 918 [2 681-3 173]"
"Jordan"," 1959","164.76 [152.05-179.12]","163.34 [150.1-178.69]","166.23 [152.11-181.8]","5 870 [5 430-6 365]","2 988 [2 752-3 260]","2 882 [2 643-3 144]"
"Jordan"," 1958","174.86 [160.82-190.99]","173.31 [158.85-190.22]","176.45 [161.06-193.68]","5 783 [5 334-6 297]","2 943 [2 705-3 219]","2 840 [2 600-3 111]"
"Jordan"," 1957","185.47 [170.15-203.34]","183.82 [168.04-202.61]","187.27 [170.69-206.08]","5 680 [5 225-6 213]","2 889 [2 648-3 174]","2 791 [2 549-3 064]"
"Jordan"," 1956","196.75 [180.17-216.15]","194.97 [177.89-215.3]","198.59 [180.42-219.01]","5 573 [5 116-6 101]","2 834 [2 592-3 121]","2 739 [2 494-3 010]"
"Jordan"," 1955","208.46 [190.25-229.66]","206.62 [188.09-228.71]","210.18 [190.65-232.53]","5 449 [4 989-5 984]","2 772 [2 528-3 056]","2 677 [2 434-2 951]"
"Jordan"," 1954","220.65 [200.86-244.01]","218.83 [198.45-242.86]","222.4 [201.23-246.93]","","",""
"Jordan"," 1953","233.28 [211.67-258.56]","231.72 [209.53-257.98]","234.99 [211.92-261.56]","","",""
"Jordan"," 1952","246.6 [223.05-274.3]","245.11 [220.96-274.08]","248.1 [223.03-277.46]","","",""
"Jordan"," 1951","260.35 [234.19-291.88]","259.15 [231.97-291.4]","261.68 [233.91-294.7]","","",""
"Jordan"," 1950","274.72 [245.77-310.52]","273.78 [243.17-310.29]","276.06 [245.23-313.58]","","",""
"Jordan"," 1949","289.66 [257.09-331.75]","","","","",""
"Jordan"," 1948","305.46 [267.56-354.11]","","","","",""
"Jordan"," 1947","322.11 [278.09-379.47]","","","","",""
"Jordan"," 1946","339.73 [287.5-407.06]","","","","",""
"Jordan"," 1945","358.41 [297.09-437.53]","","","","",""
"Kuwait"," 2021","8.73 [7.87-9.66]","9.53 [8.58-10.6]","7.88 [7.07-8.77]","434 [392-480]","243 [218-270]","191 [172-213]"
"Kuwait"," 2020","8.8 [8.16-9.47]","9.61 [8.88-10.38]","7.94 [7.33-8.61]","481 [446-518]","269 [249-291]","212 [195-230]"
"Kuwait"," 2019","8.82 [8.36-9.28]","9.63 [9.09-10.19]","7.96 [7.49-8.46]","501 [475-527]","281 [265-296]","220 [208-234]"
"Kuwait"," 2018","8.83 [8.5-9.16]","9.64 [9.22-10.07]","7.97 [7.6-8.36]","517 [498-536]","289 [277-302]","228 [217-238]"
"Kuwait"," 2017","8.87 [8.58-9.16]","9.69 [9.32-10.06]","8 [7.68-8.34]","535 [518-552]","300 [288-311]","235 [226-245]"
"Kuwait"," 2016","8.95 [8.68-9.23]","9.77 [9.42-10.13]","8.09 [7.77-8.41]","562 [545-579]","314 [303-326]","248 [238-257]"
"Kuwait"," 2015","9.1 [8.82-9.38]","9.91 [9.55-10.28]","8.25 [7.93-8.58]","604 [586-623]","337 [325-349]","267 [257-278]"
"Kuwait"," 2014","9.31 [9.04-9.59]","10.11 [9.75-10.47]","8.47 [8.15-8.8]","632 [614-651]","352 [339-364]","280 [270-291]"
"Kuwait"," 2013","9.6 [9.32-9.89]","10.39 [10.02-10.77]","8.76 [8.44-9.09]","635 [616-654]","352 [339-364]","283 [273-294]"
"Kuwait"," 2012","9.95 [9.67-10.25]","10.75 [10.38-11.14]","9.11 [8.78-9.44]","638 [620-657]","353 [340-365]","285 [275-296]"
"Kuwait"," 2011","10.34 [10.06-10.64]","11.18 [10.81-11.57]","9.46 [9.12-9.81]","638 [621-657]","352 [341-364]","286 [276-296]"
"Kuwait"," 2010","10.71 [10.42-11.02]","11.56 [11.17-11.96]","9.82 [9.47-10.17]","636 [618-654]","351 [338-362]","285 [275-296]"
"Kuwait"," 2009","11.01 [10.71-11.32]","11.88 [11.49-12.28]","10.1 [9.75-10.46]","626 [609-644]","345 [333-356]","281 [272-291]"
"Kuwait"," 2008","11.25 [10.93-11.58]","12.11 [11.71-12.53]","10.34 [9.98-10.71]","611 [594-629]","336 [325-348]","275 [266-285]"
"Kuwait"," 2007","11.43 [11.11-11.76]","12.29 [11.89-12.7]","10.53 [10.15-10.91]","592 [575-609]","325 [314-336]","267 [257-276]"
"Kuwait"," 2006","11.59 [11.26-11.92]","12.44 [12.03-12.87]","10.69 [10.31-11.07]","571 [555-588]","313 [303-324]","258 [249-267]"
"Kuwait"," 2005","11.75 [11.42-12.1]","12.62 [12.2-13.06]","10.84 [10.45-11.24]","559 [543-576]","306 [296-317]","253 [244-262]"
"Kuwait"," 2004","11.96 [11.61-12.29]","12.85 [12.41-13.27]","11.02 [10.63-11.41]","553 [537-568]","304 [293-313]","249 [241-258]"
"Kuwait"," 2003","12.16 [11.81-12.51]","13.06 [12.62-13.51]","11.21 [10.8-11.62]","543 [527-559]","298 [288-308]","245 [236-254]"
"Kuwait"," 2002","12.35 [11.99-12.71]","13.29 [12.84-13.75]","11.35 [10.94-11.77]","534 [519-550]","293 [283-303]","241 [232-249]"
"Kuwait"," 2001","12.54 [12.18-12.91]","13.51 [13.05-13.99]","11.52 [11.11-11.94]","527 [512-543]","290 [280-300]","237 [229-246]"
"Kuwait"," 2000","12.79 [12.41-13.17]","13.78 [13.31-14.27]","11.74 [11.31-12.18]","525 [510-541]","289 [279-299]","236 [228-245]"
"Kuwait"," 1999","13.1 [12.73-13.49]","14.11 [13.63-14.6]","12.04 [11.61-12.49]","532 [517-548]","293 [283-303]","239 [231-248]"
"Kuwait"," 1998","13.45 [13.08-13.85]","14.51 [14.03-15.02]","12.34 [11.9-12.79]","543 [528-559]","299 [289-310]","244 [235-253]"
