"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan"," 1991","172.23 [157.81-187.39]","176.13 [161.11-192.43]","168.24 [153.91-183.57]","93 896 [86 209-102 017]","49 267 [45 158-53 729]","44 629 [40 917-48 647]"
"Afghanistan"," 1990","178.45 [163.29-194.81]","182.25 [166.45-199.59]","174.42 [159.09-190.91]","96 478 [88 440-105 107]","50 558 [46 246-55 264]","45 920 [41 951-50 149]"
"Afghanistan"," 1989","184.86 [168.72-202.59]","188.76 [171.89-207.56]","180.71 [164.51-198.54]","97 460 [89 074-106 618]","51 028 [46 543-55 998]","46 432 [42 318-50 878]"
"Afghanistan"," 1988","191.4 [174.12-210.64]","195.38 [177.33-215.94]","187.12 [169.84-206.66]","99 702 [90 861-109 471]","52 178 [47 434-57 498]","47 524 [43 206-52 350]"
"Afghanistan"," 1987","197.94 [179.67-218.9]","202.12 [182.86-224.32]","193.7 [175.24-214.85]","103 238 [93 819-113 897]","54 015 [48 981-59 817]","49 223 [44 632-54 431]"
"Afghanistan"," 1986","204.56 [185.23-227.23]","208.68 [188.42-232.88]","200.12 [180.47-222.92]","107 178 [97 262-118 783]","56 036 [50 696-62 296]","51 142 [46 199-56 818]"
"Afghanistan"," 1985","211.1 [190.82-235.92]","215.46 [194.25-241.67]","206.58 [185.9-231.24]","110 151 [99 746-122 736]","57 509 [51 944-64 322]","52 642 [47 451-58 752]"
"Afghanistan"," 1984","217.71 [196.61-244.06]","222.06 [199.96-249.49]","212.96 [191.22-239.73]","113 968 [103 027-127 450]","59 382 [53 534-66 531]","54 586 [49 052-61 244]"
"Afghanistan"," 1983","224.2 [201.95-252.04]","228.83 [205.28-257.86]","219.42 [196.67-247.53]","121 178 [109 322-135 884]","63 083 [56 699-70 917]","58 095 [52 139-65 339]"
"Afghanistan"," 1982","230.8 [207.47-259.67]","235.66 [210.99-266.23]","225.95 [202.05-255.37]","134 459 [121 101-151 010]","70 056 [62 839-78 996]","64 403 [57 750-72 628]"
"Afghanistan"," 1981","237.31 [212.76-267.06]","242.23 [216.27-273.65]","232.27 [207.37-262.6]","149 302 [134 190-167 551]","77 923 [69 790-87 810]","71 379 [63 873-80 523]"
"Afghanistan"," 1980","243.84 [218.13-274.65]","248.84 [221.75-281.31]","238.49 [212.72-269.86]","157 262 [141 050-176 607]","82 167 [73 351-92 663]","75 095 [67 142-84 790]"
"Afghanistan"," 1979","250.28 [223.56-282.18]","255.45 [227-289.1]","244.86 [218.05-277.49]","160 372 [143 611-180 346]","83 808 [74 664-94 539]","76 564 [68 335-86 502]"
"Afghanistan"," 1978","256.39 [228.47-289.79]","261.63 [232.18-296.85]","250.78 [222.71-284.92]","161 192 [144 024-181 732]","84 231 [74 949-95 283]","76 961 [68 490-87 225]"
"Afghanistan"," 1977","262.39 [233.73-297.82]","267.73 [237.27-304.86]","256.26 [227.72-292.16]","161 518 [144 259-182 755]","84 463 [74 970-95 715]","77 055 [68 551-87 576]"
"Afghanistan"," 1976","268.26 [238.33-305.02]","274.07 [241.99-311.95]","262.17 [232.47-299.33]","161 478 [143 768-183 199]","84 464 [74 820-95 827]","77 014 [68 453-87 706]"
"Afghanistan"," 1975","274 [243.36-312.05]","279.8 [247.02-319.25]","267.86 [237.3-305.94]","161 135 [143 477-183 122]","84 255 [74 560-95 776]","76 880 [68 243-87 602]"
"Afghanistan"," 1974","279.58 [248.53-318.46]","285.71 [251.93-325.93]","273.29 [242.07-312.63]","160 389 [142 834-182 251]","83 892 [74 148-95 401]","76 497 [67 897-87 334]"
"Afghanistan"," 1973","285.23 [253.31-324.78]","291.28 [256.79-332.55]","278.93 [246.7-319.31]","159 493 [142 061-181 166]","83 365 [73 694-94 967]","76 128 [67 485-86 971]"
"Afghanistan"," 1972","290.74 [257.95-331.29]","297.35 [262.1-339.13]","284.18 [250.92-324.89]","158 626 [141 094-180 354]","82 992 [73 346-94 436]","75 634 [66 963-86 388]"
