"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Australia"," 1986","10.97 [10.76-11.19]","12.29 [12.02-12.57]","9.58 [9.34-9.82]","2 663 [2 613-2 716]","1 530 [1 497-1 566]","1 133 [1 105-1 161]"
"Australia"," 1985","11.29 [11.08-11.5]","12.64 [12.37-12.92]","9.88 [9.64-10.11]","2 703 [2 653-2 754]","1 551 [1 519-1 586]","1 152 [1 125-1 180]"
"Australia"," 1984","11.58 [11.36-11.81]","12.97 [12.68-13.26]","10.13 [9.88-10.37]","2 747 [2 694-2 801]","1 577 [1 543-1 614]","1 170 [1 142-1 198]"
"Australia"," 1983","11.86 [11.64-12.09]","13.25 [12.96-13.55]","10.41 [10.16-10.66]","2 827 [2 774-2 881]","1 620 [1 585-1 657]","1 207 [1 178-1 236]"
"Australia"," 1982","12.17 [11.94-12.41]","13.6 [13.3-13.91]","10.67 [10.42-10.93]","2 856 [2 802-2 912]","1 638 [1 603-1 676]","1 218 [1 189-1 247]"
"Australia"," 1981","12.55 [12.3-12.8]","14.02 [13.7-14.34]","11 [10.74-11.28]","2 871 [2 814-2 928]","1 647 [1 610-1 684]","1 224 [1 195-1 255]"
"Australia"," 1980","13.03 [12.78-13.29]","14.56 [14.24-14.88]","11.42 [11.15-11.7]","2 920 [2 864-2 978]","1 675 [1 639-1 713]","1 245 [1 216-1 276]"
"Australia"," 1979","13.63 [13.35-13.9]","15.22 [14.88-15.57]","11.95 [11.67-12.25]","3 057 [2 995-3 117]","1 753 [1 714-1 793]","1 304 [1 273-1 336]"
"Australia"," 1978","14.36 [14.08-14.64]","16.06 [15.72-16.43]","12.57 [12.27-12.87]","3 255 [3 191-3 319]","1 869 [1 829-1 912]","1 386 [1 352-1 419]"
"Australia"," 1977","15.23 [14.93-15.53]","17.05 [16.68-17.44]","13.32 [12.99-13.63]","3 495 [3 427-3 564]","2 009 [1 966-2 056]","1 486 [1 450-1 521]"
